"book","chapter","verse","edition","text" 
"Gal","2","09","3.02","[καί@cc γινώσκω@vpaanmp ὁ@dafs χάρις@nafsc ὁ@dafs δίδωμι@vpapafs ἐγώ@rpd-s] Πέτρος@nnmsp καί@cc Ἰάκωβος@nnmsp καί@cc Ἰωάννης@nnmsp [ὁ@dnmp δοκέω@vppanmp στῦλος@nnmpc εἰμί@vnpa δεξιός@anafpn δίδωμι@viaa3p ἐγώ@rpd-s καί@cc Βαρναβᾶς@ndmsp κοινωνία@ngfsc ἵνα@cs ἐγώ@rpn-p εἰς@pa ὁ@danp ἔθνος@nanpc αὐτός@rtnmp δέ@cc εἰς@pa ὁ@dafs περιτομή@nafsc]" 
"Gal","2","10","3.02","[μόνος@b ὁ@dgmp πτωχός@angmpn ἵνα@cs μνημονεύω@vspa1p ὅς@rrans καί@b σπουδάζω@viaa1s αὐτός@rpans οὗτος@rdans ποιέω@vnaa]" 
"Gal","2","11","3.02","[ὅτε@cs δέ@cc ἔρχομαι@viaa3s Κηφᾶς@nnmsp εἰς@pa Ἀντιόχεια@nafsp κατά@pa πρόσωπον@nansc αὐτός@rpdms ἀνθίστημι@viaa1s ὅτι@cs καταγινώσκω@vpxpnms εἰμί@viia3s]" 
"Gal","2","12","3.02","[πρό@pg ὁ@dgns γάρ@cc ἔρχομαι@vnaa τὶς@riamp ἀπό@pg Ἰάκωβος@ngmsp μετά@pg ὁ@dgnp ἔθνος@ngnpc συνεσθίω@viia3s ὅτε@cs δέ@cc ἔρχομαι@viaa3p ὑποστέλλω@viia3s καί@cc ἀφορίζω@viia3s ἑαυτοῦ@rxams φοβέω@vppmnms ὁ@damp ἐκ@pg περιτομή@ngfsc]" 
"Gal","2","13","3.02","[καί@cc συνυποκρίνομαι@viap3p αὐτός@rpdms καί@b ὁ@dnmp λοιπός@annmpn Ἰουδαῖος@annmpn ὥστε@cs καί@b Βαρναβᾶς@nnmsp συναπάγω@viap3s αὐτός@rpgmp ὁ@ddfs ὑπόκρισις@ndfsc]" 
"Gal","2","14","3.02","[ἀλλά@cc ὅτε@cs ὁράω@viaa1s ὅτι@cs οὐ@b ὀρθοποδέω@vipa3p πρός@pa ὁ@dafs ἀλήθεια@nafsc ὁ@dgns εὐαγγέλιον@ngnsc λέγω@viaa1s ὁ@ddms Κηφᾶς@ndmsp ἔμπροσθεν@pg πᾶς@aigmpn εἰ@cs σύ@rpn-s Ἰουδαῖος@annmsn ὑπάρχω@vppanms ἐθνικῶς@b καί@cc οὐχί@b Ἰουδαϊκῶς@b ζάω@vipa2s πῶς@b ὁ@danp ἔθνος@nanpc ἀναγκάζω@vipa2s Ἰουδαΐζω@vnpa]" 
"Gal","2","16","3.02","[οἶδα@vpxanmp δέ@cc ὅτι@cs οὐ@b δικαιόω@vipp3s ἄνθρωπος@nnmsc ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ἐάν@cs μή@x διά@pg πίστις@ngfsc Χριστός@ngmsp Ἰησοῦς@ngmsp καί@b ἐγώ@rpn-p εἰς@pa Χριστός@namsp Ἰησοῦς@namsp πιστεύω@viaa1p ἵνα@cs δικαιόω@vsap1p ἐκ@pg πίστις@ngfsc Χριστός@ngmsp καί@cc οὐ@b ἐκ@pg ἔργον@ngnpc νόμος@ngmsc ὅτι@cs ἐκ@pg ἔργον@ngnpc νόμος@ngmsc οὐ@b δικαιόω@vifp3s πᾶς@ainfsn σάρξ@nnfsc]" 
"Gal","2","18","3.02","[εἰ@cs γάρ@cc ὅς@rranp καταλύω@viaa1s οὗτος@rdanp πάλιν@b οἰκοδομέω@vipa1s παραβάτης@namsc ἐμαυτοῦ@rxams συνίστημι@vipa1s]" 
"Gal","2","19","3.02","[Χριστός@ndmsp συσταυρόω@vixp1s]" 
"Gal","2","20","3.02","[ζάω@vipa1s δέ@cc οὐκέτι@b ἐγώ@rpn-s ζάω@vipa3s δέ@cc ἐν@pd ἐγώ@rpd-s Χριστός@nnmsp ὅς@rrans δέ@cc νῦν@b ζάω@vipa1s ἐν@pd σάρξ@ndfsc ἐν@pd πίστις@ndfsc ζάω@vipa1s ὁ@ddfs] ὁ@dgms υἱός@ngmsc ὁ@dgms θεός@ngmsc ὁ@dgms ἀγαπάω@vpaagms ἐγώ@rpa-s" 
