YYYY-mm-dd	resp	decision	location	rec	pre	post	delete_cnt	add_cnt	proposed_abs	actual_abs	proposed_tally	actual_tally	word_tally
2025-02-18	MGB	rejected	Rom05.10	del	ἐχθροὶ ὄντες	-	0	0	2	0	1088	697	7762
2025-02-18	MGB	rejected	Rom14.21	sub	ἢ σκανδαλίζεται	σκανδαλίζεται	0	0	2	0	1090	697	7762
2025-02-18	MGB	rejected	1Th03.05	sub	καθάπερ καὶ	καθὼς καὶ	0	0	1	0	1091	697	7762
2025-02-18	MGB	rejected	Col01.15	sub	ὅς	ὁ Χριστὸς	0	0	2	0	1093	697	7762
2025-02-18	MGB	rejected	Lao02.16	sub	ἀποκαταλλάξῃ	καὶ ἀποκαταλλάξῃ	0	0	2	0	1095	697	7762
2025-02-18	MGB	rejected	Lao05.31	sub	τοῦ	τούτου	0	0	1	0	1096	697	7762
2025-02-18	MGB	rejected	Lao06.16	sub	Διὰ δεήσεως ἐν καιρῷ	Διὰ δεήσεως προσευχόμενοι ἐν καιρῷ	0	0	3	0	1099	697	7762
2025-02-18	MGB	rejected	Php01.12	add	-	Τινὲς	0	0	1	0	1100	697	7762
2025-02-18	MGB	rejected	Php03.05	add	-	ἐγὼ ἤμην	0	0	2	0	1102	697	7762
2025-02-20	MV	confirmed	1Cr13.08	del	Ἡ ἀγάπη οὐδέποτε πίπτει εἴτε δὲ προφητεῖαι καταργηθήσονται εἴτε γλῶσσαι παύσονται εἴτε γνῶσις καταργηθήσεται	-	-14	0	14	14	1116	711	7748
2025-02-20	MV	confirmed	1Cr13.09	del	ἐκ μέρους γὰρ γινώσκομεν καὶ ἐκ μέρους προφητεύομεν	-	-8	0	8	8	1124	719	7740
2025-02-20	MV	confirmed	1Cr13.10	del	ὅταν δὲ ἔλθῃ τὸ τέλειον τὸ ἐκ μέρους καταργηθήσεται	-	-9	0	9	9	1133	728	7731
2025-02-20	MV	confirmed	1Cr13.11	del	ὅτε ἤμην νήπιος ἐλάλουν ὡς νήπιος ἐφρόνουν ὡς νήπιος ἐλογιζόμην ὡς νήπιος ὅτε γέγονα ἀνήρ κατήργηκα τὰ τοῦ νηπίου	-	-19	0	19	19	1152	747	7712
2025-05-18	ALL	summation	emailed	ALL			-667	28	1152	747	1152	747	7712
2025-05-18	MV	unaccounted	not_emailed	NA			-1467	0	0	0	1152	747	6245
