"book","chapter","verse","edition","text" 
"Gal","1","01","3.01","Παῦλος@nnmsp ἀπόστολος@nnmsc οὐ@b ἀπό@pg ἄνθρωπος@ngmpc οὐδέ@cc διά@pg ἄνθρωπος@ngmsc ἀλλά@cc διά@pg Ἰησοῦς@ngmsp Χριστός@ngmsp ὁ@dgms ἐγείρω@vpaagms ἑαυτοῦ@rxams ἐκ@pg νεκρός@angmpn" 
"Gal","1","02","3.01","καί@cc ὁ@dnmp σύν@pd ἐγώ@rpd-s πᾶς@ainmpn ἀδελφός@nnmpc ὁ@ddfp ἐκκλησία@ndfpc ὁ@dgfs Γαλατία@ngfsp" 
"Gal","1","03","3.01","χάρις@nnfsc σύ@rpd-p καί@cc εἰρήνη@nnfsc ἀπό@pg θεός@ngmsc πατήρ@ngmsc καί@cc κύριος@ngmsc ἐγώ@rpg-p Ἰησοῦς@ngmsp Χριστός@ngmsp" 
"Gal","1","06","3.01","θαυμάζω@vipa1s ὅτι@cs οὕτω@b ταχέως@b μετατίθημι@vipe2p ἀπό@pg ὁ@dgms καλέω@vpaagms σύ@rpa-p εἰς@pa (ὁ@dafs) χάρις@nafsc εἰς@pa ἕτερος@aiansn εὐαγγέλιον@nansc" 
"Gal","1","07","3.01","ὅς@rrnns οὐ@b εἰμί@vipa3s εἰ@cs μή@x τὶς@rinmp εἰμί@vipa3p ὁ@dnmp ταράσσω@vppanmp σύ@rpa-p καί@cc θέλω@vppanmp μεταστρέφω@vnaa ὁ@dans εὐαγγέλιον@nansc ὁ@dgms Χριστός@ngmsp" 
"Gal","1","08","3.01","καί@cc ἐάν@cs τέ@cc ἐγώ@rpn-p ἤ@cc ἄγγελος@nnmsc εὐαγγελίζω@vsam3s σύ@rpd-p" 
"Gal","1","09","3.01","παρά@pa ὅς@rrans παραλαμβάνω@viaa2p ἀνάθεμα@nnnsc εἰμί@vdpa3s" 
"Gal","1","10","3.01","ἄρτι@b γάρ@cc ἄνθρωπος@nampc πείθω@vipa1s ἤ@cc ὁ@dams θεός@namsc ἤ@cc ζητέω@vipa1s ἄνθρωπος@ndmpc ἀρέσκω@vnpa εἰ@cs ἄνθρωπος@ndmpc ἀρέσκω@viia1s Χριστός@ngmsp δοῦλος@nnmsc οὐ@b ἄν@x εἰμί@viim1s" 
"Gal","1","11","3.01","γνωρίζω@vipa1s γάρ@cc σύ@rpd-p ἀδελφός@nvmpc ὁ@dans εὐαγγέλιον@nansc ὁ@dans εὐαγγελίζω@vpapans ὑπό@pg ἐγώ@rpg-s ὅτι@cs οὐ@b εἰμί@vipa3s κατά@pa ἄνθρωπος@namsc" 
"Gal","1","12","3.01","οὐδέ@b γάρ@cc ἐγώ@rpn-s παρά@pg ἄνθρωπος@ngmsc παραλαμβάνω@viaa1s αὐτός@rpans ἀλλά@cc διά@pg ἀποκάλυψις@ngfsc Ἰησοῦς@ngmsp Χριστός@ngmsp" 
"Gal","1","15","3.01","ὅτε@cs δέ@cc εὐδοκέω@viaa3s ὁ@dnms ἀφορίζω@vpaanms ἐγώ@rpa-s ἐκ@pg κοιλία@ngfsc μήτηρ@ngfsc ἐγώ@rpg-s καί@cc καλέω@vpaanms εἰς@pa ὁ@dafs χάρις@nafsc (αὐτός@rpgms)" 
"Gal","1","16","3.01","ἀποκαλύπτω@vnaa ὁ@dams υἱός@namsc αὐτός@rpgms ἐν@pd ἐγώ@rpd-s ἵνα@cs εὐαγγελίζω@vspm1s αὐτός@rpams ἐν@pd ὁ@ddnp ἔθνος@ndnpc εὐθέως@b οὐ@b προσανατίθημι@viam1s σάρξ@ndfsc καί@cc αἷμα@ndnsc" 
"Gal","1","17","3.01","οὐδέ@cc ἀπέρχομαι@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp πρός@pa ὁ@damp πρό@pg ἐγώ@rpg-s ἀπόστολος@nampc ἀλλά@cc ἀπέρχομαι@viaa1s εἰς@pa Ἀραβία@nafsp καί@cc πάλιν@b ὑποστρέφω@viaa1s εἰς@pa Δαμασκός@nafsp" 
"Gal","1","18","3.01","ἔπειτα@b μετά@pa ἔτος@nanpc τρεῖς@acanpn ἀνέρχομαι@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp ἱστορέω@vnaa Κηφᾶς@namsp καί@cc ἐπιμένω@viaa1s πρός@pa αὐτός@rpams ἡμέρα@nafpc δεκαπέντε@ac---n" 
"Gal","1","19","3.01","ἕτερος@aiamsn δέ@cc ὁ@dgmp ἀπόστολος@ngmpc οὐ@b ὁράω@viaa1s εἰ@cs μή@x Ἰάκωβος@namsp ὁ@dams ἀδελφός@namsc ὁ@dgms κύριος@ngmsc" 
"Gal","1","20","3.01","ὅς@rranp δέ@cc γράφω@vipa1s σύ@rpd-p ἰδού@i ἐνώπιον@pg ὁ@dgms θεός@ngmsc ὅτι@cs οὐ@b ψεύδομαι@vipm1s" 
"Gal","1","21","3.01","ἔπειτα@b ἔρχομαι@viaa1s εἰς@pa ὁ@danp κλίμα@nanpc ὁ@dgfs Συρία@ngfsp καί@cc ὁ@dgfs Κιλικία@ngfsp" 
"Gal","1","22","3.01","εἰμί@viim1s δέ@cc ἀγνοέω@vpppnms ὁ@ddns πρόσωπον@ndnsc ὁ@ddfp ἐκκλησία@ndfpc ὁ@dgfs Ἰουδαία@ngfsp ὁ@ddfp ἐν@pd Χριστός@ndmsp" 
"Gal","2","01","3.01","ἔπειτα@b διά@pg δεκατέσσαρες@acgnpn ἔτος@ngnpc πάλιν@b ἀναβαίνω@viaa1s εἰς@pa Ἱεροσόλυμα@nanpp μετά@pg Βαρναβᾶς@ngmsp συμπαραλαμβάνω@vpaanms καί@b Τίτος@namsp" 
"Gal","2","02","3.01","ἀναβαίνω@viaa1s δέ@cc κατά@pa ἀποκάλυψις@nafsc καί@cc ἀνατίθημι@viam1s αὐτός@rpdmp ὁ@dans εὐαγγέλιον@nansc ὅς@rrans κηρύσσω@vipa1s ἐν@pd ὁ@ddnp ἔθνος@ndnpc" 
"Gal","2","03","3.01","ἀλλά@cc οὐδέ@b Τίτος@nnmsp (σύν@pd ἐγώ@rpd-s) Ἕλλην@nnmsp εἰμί@vppanms ἀναγκάζω@viap3s περιτέμνω@vnap" 
"Gal","2","04","3.01","διά@pa ὁ@damp παρείσακτος@anampn ψευδάδελφος@nampc ὅστις@rrnmp παρεισέρχομαι@viaa3p κατασκοπέω@vnaa ὁ@dafs ἐλευθερία@nafsc ἐγώ@rpg-p ὅς@rrafs ἔχω@vipa1p ἐν@pd Χριστός@ndmsp Ἰησοῦς@ndmsp ἵνα@cs ἐγώ@rpa-p καταδουλόω@vsaa3p" 
"Gal","2","05","3.01","οὐδέ@b πρός@pa ὥρα@nafsc εἴκω@viaa1p ὁ@ddfs ὑποταγή@ndfsc ἵνα@cs ὁ@dnfs ἀλήθεια@nnfsc ὁ@dgns εὐαγγέλιον@ngnsc διαμένω@vsaa3s πρός@pa σύ@rpa-p" 
"Gal","2","06","3.01","ἀπό@pg δέ@cc ὁ@dgmp δοκέω@vppagmp εἰμί@vnpa τὶς@rians () ὁποῖος@arnmpn ποτέ@b εἰμί@viia3p οὐδείς@rians ἐγώ@rpd-s διαφέρω@vipa3s πρόσωπον@nansc θεός@nnmsc οὐ@b λαμβάνω@vipa3s ἐγώ@rpd-s γάρ@cc οὐδείς@rians προσανατίθημι@viam3p" 
"Gal","2","07","3.01","ἀλλά@cc ὁ@dgms ἐναντίον@b ὁράω@vpaanmp ὅτι@cs πιστεύω@vixp1s ὁ@dans εὐαγγέλιον@nansc ὁ@dgfs ἀκροβυστία@ngfsc" 
"Gal","2","09","3.01","καί@cc γινώσκω@vpaanmp ὁ@dafs χάρις@nafsc ὁ@dafs δίδωμι@vpapafs ἐγώ@rpd-s Ἰάκωβος@nnmsp καί@cc Κηφᾶς@nnmsp καί@cc Ἰωάννης@nnmsp ὁ@dnmp δοκέω@vppanmp στῦλος@nnmpc εἰμί@vnpa δεξιός@anafpn δίδωμι@viaa3p ἐγώ@rpd-s καί@cc Βαρναβᾶς@ndmsp κοινωνία@ngfsc ἵνα@cs ἐγώ@rpn-p εἰς@pa ὁ@danp ἔθνος@nanpc αὐτός@rtnmp δέ@cc εἰς@pa ὁ@dafs περιτομή@nafsc" 
"Gal","2","11","3.01","ὅτε@cs δέ@cc ἔρχομαι@viaa3s Κηφᾶς@nnmsp εἰς@pa Ἀντιόχεια@nafsp κατά@pa πρόσωπον@nansc αὐτός@rpdms ἀνθίστημι@viaa1s ὅτι@cs καταγινώσκω@vpxpnms εἰμί@viia3s" 
"Gal","2","12","3.01","πρό@pg ὁ@dgns γάρ@cc ἔρχομαι@vnaa Ἰάκωβος@namsp μετά@pg ὁ@dgnp ἔθνος@ngnpc συνεσθίω@viia3s ὅτε@cs δέ@cc ἔρχομαι@viaa3s ὑποστέλλω@viia3s καί@cc ἀφορίζω@viia3s ἑαυτοῦ@rxams φοβέω@vppmnms ὁ@damp ἐκ@pg περιτομή@ngfsc" 
"Gal","2","13","3.01","καί@cc συνυποκρίνομαι@viap3p αὐτός@rpdms ὁ@dnmp λοιπός@annmpn Ἰουδαῖος@annmpn ὥστε@cs καί@b Βαρναβᾶς@nnmsp συναπάγω@viap3s αὐτός@rpgmp ὁ@ddfs ὑπόκρισις@ndfsc" 
"Gal","2","14","3.01","ἀλλά@cc ὅτε@cs ὁράω@viaa1s ὅτι@cs οὐ@b ὀρθοποδέω@vipa3p πρός@pa ὁ@dafs ἀλήθεια@nafsc ὁ@dgns εὐαγγέλιον@ngnsc λέγω@viaa1s ὁ@ddms Κηφᾶς@ndmsp ἔμπροσθεν@pg πᾶς@aigmpn εἰ@cs σύ@rpn-s Ἰουδαῖος@annmsn ὑπάρχω@vppanms ἐθνικῶς@b ζάω@vipa2s πῶς@b ὁ@danp ἔθνος@nanpc ἀναγκάζω@vipa2s Ἰουδαΐζω@vnpa" 
"Gal","2","15","3.01","ἐγώ@rpn-p φύσις@ndfsc Ἰουδαῖος@annmpn καί@cc οὐ@b ἐκ@pg ἔθνος@ngnpc ()" 
"Gal","2","18","3.01","εἰ@cs γάρ@cc ὅς@rranp καταλύω@viaa1s οὗτος@rdanp πάλιν@b οἰκοδομέω@vipa1s παραβάτης@namsc ἐμαυτοῦ@rxams συνίστημι@vipa1s" 
"Gal","2","19","3.01","ἐγώ@rpn-s γάρ@cc διά@pg νόμος@ngmsc νόμος@ndmsc ἀποθνῄσκω@viaa1s ἵνα@cs θεός@ndmsc ζάω@vsaa1s Χριστός@ndmsp συσταυρόω@vixp1s" 
"Gal","2","20","3.01","ζάω@vipa1s δέ@cc οὐκέτι@b ἐγώ@rpn-s ζάω@vipa3s δέ@cc ἐν@pd ἐγώ@rpd-s Χριστός@nnmsp ὅς@rrans δέ@cc νῦν@b ζάω@vipa1s ἐν@pd σάρξ@ndfsc ἐν@pd πίστις@ndfsc ζάω@vipa1s ὁ@ddfs ὁ@dgms υἱός@ngmsc ὁ@dgms θεός@ngmsc ὁ@dgms ἀγαπάω@vpaagms ἐγώ@rpa-s καί@cc παραδίδωμι@vpaagms ἑαυτοῦ@rxams ὑπέρ@pg ἐγώ@rpg-s" 
